catalog_id,official_id,domain,name,chapter,scope,type,maturity,source_package,source_entry,source_sha256,source_granularity,formal_row_id,formal_row_entry,formal_row_sha256,source_status,design_master,production_spec,runtime_asset,acceptance_asset,id,priority,delivery_status,design_board,verification_result,mechanism_name,freeze_version,category,batch,independent_board_status,confirmation_status,hopa_interaction,application_scene,delivery_form,freeze_requirement
CAT-CHAR-001,,character,星宇,G02,G02,全局角色,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G02_锈环星_人物三视图.png,c549fe94157daea3606a1b7b32562e28108c9e54f2dac1b156b38c8097c0a0b3,design_board_entry,CHAR-001,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-001,,,,,,,,,,,,,,
CAT-CHAR-002,EDU-0077,character,七码,G02,G02,全局角色,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G02_锈环星_人物三视图.png,c549fe94157daea3606a1b7b32562e28108c9e54f2dac1b156b38c8097c0a0b3,design_board_entry,CHAR-002,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-002,,,,,,,,,,,,,,
CAT-CHAR-003,,character,织星婆婆,G02,G02,全局角色,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G02_锈环星_人物三视图.png,c549fe94157daea3606a1b7b32562e28108c9e54f2dac1b156b38c8097c0a0b3,design_board_entry,CHAR-003,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-003,,,,,,,,,,,,,,
CAT-CHAR-004,,character,豆包,G02,G02,星球NPC,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G02_锈环星_人物三视图.png,c549fe94157daea3606a1b7b32562e28108c9e54f2dac1b156b38c8097c0a0b3,design_board_entry,CHAR-004,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-004,,,,,,,,,,,,,,
CAT-CHAR-005,,character,阿铆,G02,G02,星球NPC,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G02_锈环星_人物三视图.png,c549fe94157daea3606a1b7b32562e28108c9e54f2dac1b156b38c8097c0a0b3,design_board_entry,CHAR-005,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-005,,,,,,,,,,,,,,
CAT-CHAR-006,,character,小线球,G02,G02,星球NPC,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G02_锈环星_人物三视图.png,c549fe94157daea3606a1b7b32562e28108c9e54f2dac1b156b38c8097c0a0b3,design_board_entry,CHAR-006,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-006,,,,,,,,,,,,,,
CAT-CHAR-007,,character,狰,G02,G02,管理员,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G02_锈环星_人物三视图.png,c549fe94157daea3606a1b7b32562e28108c9e54f2dac1b156b38c8097c0a0b3,design_board_entry,CHAR-007,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-007,,,,,,,,,,,,,,
CAT-CHAR-008,,character,卡卡,G03,G03,星球NPC,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G03_齿轮荒原_人物三视图.png,51956299eabc1beb9093d8214e5b8eb78b09ba6cf532e72f72ca820df4dffc98,design_board_entry,CHAR-008,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-008,,,,,,,,,,,,,,
CAT-CHAR-009,,character,方盒姨,G03,G03,星球NPC,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G03_齿轮荒原_人物三视图.png,51956299eabc1beb9093d8214e5b8eb78b09ba6cf532e72f72ca820df4dffc98,design_board_entry,CHAR-009,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-009,,,,,,,,,,,,,,
CAT-CHAR-010,,character,叮,G03,G03,星球NPC,design_and_three_view_complete,PKG-CHARACTERS-V2.1,星骸拾荒者_人物形象设计全集_V2.1_补齐版/01_十二星球人物三视图/G03_齿轮荒原_人物三视图.png,51956299eabc1beb9093d8214e5b8eb78b09ba6cf532e72f72ca820df4dffc98,design_board_entry,CHAR-010,星骸拾荒者_人物形象设计全集_V2.1_补齐版/02_清单与说明/星骸拾荒者_全项目美术资产主清单_V1.0.xlsx,ea329b30f458a567a92ef0f02b783eb58c4129596e4958e4cf739eb47329816e,71/71_design_identity_and_three_view_verified,True,True,False,False,CAT-CHAR-010,,,,,,,,,,,,,,
